,can,active,decoy
0,Oc2ccc1CN(C(=O)C(F)(F)F)CCc1c2,1,0
1,Oc5ccc4[C@@H](c2ccc(SCCN1CCCC1)cc2)[C@@H](c3ccccc3)COc4c5,1,0
2,Oc5ccc4O[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](C3CCCC3)Sc4c5,1,0
3,Oc2ccc1C4=C(COc1c2)c3ccc(O)cc3OC4c6ccc(OCCN5CCCCCC5)cc6,1,0
4,Oc4ccc3C(C1CCCCC1)N(c2ccccc2)CCc3c4,1,0
5,CCCCCS(=O)(=O)CCCCCCCCCCn2c(c1ccc(O)cc1)c(C)c3cc(O)ccc23,1,0
6,Oc5ccc4O[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](C3CCCCC3)Sc4c5,1,0
7,CC4=CC3=CC[C@H]2[C@@H]1CC[C@H](O)[C@@]1(C)CC[C@@H]2[C@@]3(C)CC4,1,0
8,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN4C[C@H]3CCC[C@H]3C4)cc5)cc6,1,0
9,CC(C)CN(C)c3cc(c1ccccc1)cc(c2ccc(O)c(C)c2)n3,1,0
10,Oc6ccc5C(c2ccc(OCCN1CCCC1)cc2)N(S(=O)(=O)c3cccc4ccccc34)CCc5c6,1,0
11,Oc5ccc(C2CCc1cc(O)ccc1N2c4ccc(OCCN3CCCCC3)cc4)cc5,1,0
12,Oc4ccc3C(c1cccs1)N(c2ccccc2)CCc3c4,1,0
13,Cc7ccc(S(=O)(=O)N6Cc5ccc([C@]4(O)CC[C@H]3[C@@H]2CCc1cc(O)ccc1[C@H]2CC[C@@]34C)cc5C6)cc7,1,0
14,CC2CCc1ccccc1N2S(=O)(=O)c3ccc(O)cc3,1,0
15,CCc2c(c1ccc(O)cc1)c4ccc3c(O)ccc2n34,1,0
16,OC(CCN1CCCCC1)c6ccc(c4c2cc(O)ccc2cc5sc3cc(O)ccc3c45)cc6,1,0
17,Oc4ccc(c2nn(C1CCCC1)c3c(F)cccc23)cc4,1,0
18,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5c(OCCCCCN3CCCCC3)cccc45,1,0
19,Oc6ccc5c(c1cccc2ccccc12)c(C(=O)c4ccc3OCCOc3c4)oc5c6,1,0
20,Oc4ccc([C@H]3Oc1ccc(O)cc1[C@H]2CCCC[C@H]23)cc4,1,0
21,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCC4CC3CC3C4)cc5)cc6,1,0
22,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5cc(OCCCN3CCCC3)ccc45,1,0
23,Oc5ccc4O[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](CC3CCCCC3)Sc4c5,1,0
24,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5cc(OCCN3CCCCC3)ccc45,1,0
25,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5cc(OCCCCN3CCCCC3)ccc45,1,0
26,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5c(OCCCN3CCCCC3)cccc45,1,0
27,C[C@]34CC[C@H]1[C@@H](CCc2cc(O)ccc12)[C@@H]3CC[C@@H]4O,1,0
28,Oc5ccc(C1=c4ccc3=CC=CC(C1CCc2ccccc2)n34)cc5,1,0
29,COC(=O)C2=C(N)Oc1cc(O)ccc1C2c4ccc(OCc3ccccc3F)cc4,1,0
30,Oc5ccc([C@@H]2Sc1c(F)cc(O)cc1O[C@@H]2c4ccc(OCCN3CCCCC3)cc4)cc5,1,0
31,Oc6ccc5C(c2ccc(OCCN1CCCC1)cc2)N(S(=O)(=O)c4ccc3ccccc3c4)CCc5c6,1,0
32,Oc1ccc4c(c1)oc3oc2cc(O)cc(O)c2c(=O)c34,1,0
33,Oc6ccc5C3=C(c2ccc(OCCN1CCCCC1)cc2)C(=O)CCC3(Cc4ccccc4)Cc5c6,1,0
34,Oc5ccc4[C@@H](c2ccc(OCCN1CCCCC1)cc2)[C@@H](c3ccccc3)COc4c5,1,0
35,Oc5ccc4c(C(=O)c2ccc(OCCN1CCCCC1)cc2)c(c3cccs3)sc4c5,1,0
36,Cc2c(\C=N\O)c1ccccc1n2c3ccc(O)cc3,1,0
37,ClC2(Cl)C5(Cl)C1(Cl)C4(Cl)C(=O)C3(Cl)[C@@]1(Cl)C2(Cl)[C@]3(Cl)C45Cl,1,0
38,CCc3c(c1ccc(O)cc1)oc(c2ccc(O)cc2)c3c4ccc(OC)cc4,1,0
39,C[C@]34CCc1c(ccc2cc(O)ccc12)[C@@H]3CC[C@H]4O,1,0
40,O/N=C/c3ccc(c1ccccc1)c(c2ccccc2)c3,1,0
41,Oc4ccc3C(c2ccc(OCCN1CCCCC1)cc2)c5c(Cc3c4)ccc6cc(O)ccc56,1,0
42,C[C@H]4[C@H](c1ccc(O)cc1)[C@H](c3ccc(OCCN2CCCCCC2)cc3)Oc5ccc(O)c(F)c45,1,0
43,OC(=O)COc3ccc(C(Cc1ccccc1)c2ccc(O)cc2)cc3,1,0
44,Oc5ccc(c2sc1cc(O)ccc1c2C(=O)c4ccc(NCCN3CCCCC3)cc4)cc5,1,0
45,Oc6ccc5c(c1cccc2ccccc12)c(C(=O)c4ccc(c3ccccc3)cc4)oc5c6,1,0
46,Oc6ccc5C3=C(c2ccc(OCCN1CCOCC1)cc2)C(=O)CCC3(Cc4ccccc4)Cc5c6,1,0
47,CN(CCCc1ccc(Cl)cc1)c5nc(NCCc2ccc(O)cc2)nc(N4CCN(Cc3cccnc3)CC4)n5,1,0
48,CC/C(=C(\c1ccc(I)cc1)c3ccc(OCCN2CCCC2)cc3)c4ccccc4,1,0
49,CCC3=C(c1ccc(O)cc1)C(C(=O)Nc2ccc(OCCN(C)C)cc2)c4cc(O)ccc34,1,0
50,Oc6ccc5c(ccc4cc1ccc(O)cc1c(c3ccc(OCCN2CCCCC2)cc3)c45)c6,1,0
51,Oc3ccc(S(=O)(=O)N(c1ccccc1)c2ccccc2)cc3,1,0
52,C[C@]45CC[C@H]1[C@@H](CC=C2[C@H]3CC[C@@]12CCC3=O)[C@@H]4CC[C@@H]5O,1,0
53,Oc4ccc3cc(c1noc2cc(O)ccc12)ccc3c4,1,0
54,CN(C)C(=O)\C=C\c4ccc(N2CCc1cc(O)ccc1C2c3ccccc3)cc4,1,0
55,Oc3ccc(c2cc(Br)c1cc(O)ccc1n2)cc3,1,0
56,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN3C4CCCC3CC4)cc5)cc6,1,0
57,Oc1ccc3c(c1)oc4c(=O)c2c(O)cc(O)cc2oc34,1,0
58,Oc5ccc(C1=c4ccc3=CC=C2CCCC1C2n34)cc5,1,0
59,CC(=O)c5ccc4N[C@@H](c2cc1OCOc1cc2Br)[C@H]3CC=C[C@H]3c4c5,1,0
60,O/N=C/c2ccc(c1ccc(O)cc1)c3ccoc23,1,0
61,CC(C)N(CCOc3ccc(C(=C1CCCCC1)c2ccc(O)cc2)cc3)C(C)C,1,0
62,CCC(C(c1ccc(O)cc1)c3ccc(OCCN(C)CCO/N=C/c2ccc(O)c(C(N)=O)c2)cc3)c4ccccc4,1,0
63,Oc5ccc(C4=C2c1ccc(O)cc1CC2(Cc3ccccc3)CCC4=O)cc5,1,0
64,Oc6ccc5c(C(=O)c2ccc(OCCN1CCCCC1)cc2)c(c4ccc3ccccc3c4)sc5c6,1,0
65,COc1ccccc1Cc3c(C(=O)c2ccccc2Cl)oc4cc(O)ccc34,1,0
66,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN3CC4CC3CO4)cc5)cc6,1,0
67,CC[C@H](COc4ccc([C@@H]2Oc1ccc(O)cc1S[C@@H]2c3ccc(O)cc3)cc4)N5CCCC5,1,0
68,CC(C)N5CCN(c4ccc(C(=O)c2c(c1ccc(O)cc1)sc3cc(O)ccc23)cc4)CC5,1,0
69,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5c(OCCCCN3CCCCC3)cccc45,1,0
70,Oc2ccc1C4=C(CCCOc1c2)c3ccc(O)cc3OC4c6ccc(OCCN5CCCCC5)cc6,1,0
71,O=C5CCC4(Cc1ccccc1)Cc2c(ccc3[nH]ncc23)C4=C5c7ccc(OCCN6CCCCC6)cc7,1,0
72,Oc5ccc4c(C(=O)c2ccc(OCCN1CCCCC1)cc2)c(C3CCCC3)sc4c5,1,0
73,Oc5ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c4ccc(OCCN3CCS(=O)(=O)CC3)cc4)cc5,1,0
74,Oc4ccc(c2nn1c(C(F)(F)F)cc(C(F)(F)F)nc1c2c3ccc(O)cc3)cc4,1,0
75,CC(C)N5CCN(c4ccc(C2N(c1cccc(O)c1)CCc3cc(O)ccc23)cc4)CC5,1,0
76,Oc5ccc(C3=C(c2ccc(OCCN1CCCC1)cc2)CCOc4cc(F)ccc34)cc5,1,0
77,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN3CC4CCC3CC4)cc5)cc6,1,0
78,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN3C4CCCC3CCC4)cc5)cc6,1,0
79,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN3C4CCC3CC4)cc5)cc6,1,0
80,CC5(c2ccc(OCCN1CCCCC1)cc2)N(c3cccc(O)c3)CCc4cc(O)ccc45,1,0
81,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc4c(c2ccccc2)[nH]c5cc(OCCCN3CCCCC3)ccc45,1,0
82,Oc5ccc(c2sc1cc(O)ccc1c2C(=O)c4ccc(SCCN3CCCCC3)cc4)cc5,1,0
83,Oc3ccc(c2cccc(c1ccc(O)cc1)c2)cc3,1,0
84,Oc4ccc([C@H]2Sc1cc(O)ccc1O[C@H]2CCCN3CCCCC3)cc4,1,0
85,CCCN(c1c(CC)cccc1CC)S(=O)(=O)c2ccc(O)c(C)c2,1,0
86,Oc6ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c5ccc(OCCN4CC3CC3C4)cc5)cc6,1,0
87,Oc3ccc(c2coc1cc(O)cc(O)c1c2=O)cc3,1,0
88,CN6CCN(CCOc5ccc([C@H]2Oc1cc(O)ccc1C4=C2c3ccc(O)cc3OCC4)cc5)CC6,1,0
89,COc6ccc5C2CC[C@@]1(C)C(CC[C@@H]1O)C2[C@H](Sc4ccc(OCCN3CCCCC3)cc4)Cc5c6,1,0
90,Oc5ccc([C@H]2Sc1cc(O)ccc1O[C@H]2c4ccc(C3CCNCC3)cc4)cc5,1,0
91,Oc4ccc(CCNc3nc(SCCCc1ccc(Cl)cc1)nc(N2CCNCC2)n3)cc4,1,0
92,CN(C)CCOc5ccc([C@H]2Oc1cc(O)ccc1C4=C2c3ccc(O)cc3OCC4)cc5,1,0
93,Oc5ccc(C4=C(c2ccc(OCCN1CCC1)cc2)c3ccccc3OCC4)cc5,1,0
94,Oc5ccc4[C@@H](c2ccc(OCCN1CCCC1)cc2)[C@@H](c3ccccc3)COc4c5,1,0
95,Oc5ccc4C2=C(c1ccco1)C(=O)CCC2(c3ccccc3)Cc4c5,1,0
96,Oc5ccc(c2nn1c(C(F)(F)F)cc(C(F)(F)F)nc1c2c4ccc(OCCN3CCCCC3)cc4)cc5,1,0
97,Oc5ccc4c(C(=O)c2ccc(OCCN1CCCCC1)cc2)c(c3ccsc3)sc4c5,1,0
98,Cc3c(c1ccc(O)cc1)nn(c2ccc(O)cc2)c3c5ccc(CCCN4CCCCC4)cc5,1,0
99,Oc2ccc1C4=C(CCOc1c2)c3ccc(O)cc3O[C@@H]4c6ccc(OCCN5CCCCCC5)cc6,1,0
100,C[C@H](c1ccccc1Br)Nc2cc(ccc2Br)Br,0,1
101,Cc1cc(c(c(c1)Cl)NC(=S)N(C)[C@H](C)c2ccc(cc2)F)C,0,1
102,Cc1cc(c(c(c1)C)NS(=O)(=O)c2cccc3c2nccc3)C,0,1
103,CCCC1=C([C@@]2(c3cc(ccc3NC2=O)Br)C(=C(O1)N)C(=O)OCc4ccccc4)C(=O)OCC,0,1
104,c1ccc2c(c1)[C@H](CCS2)Nc3cc(cc(c3)F)F,0,1
105,C[NH+]1CCN(CC1)C(=O)c2ccc(c(c2)NC(=O)c3ccc(cc3)SC(F)(F)F)OC,0,1
106,Cn1c2c(cn1)[C@@H](CCC2)Nc3cccc(c3)I,0,1
107,Cc1ccc(c(c1)[C@@H](C)Nc2ccc3cn[nH]c3c2)C,0,1
108,COC(=O)c1cc(ccc1Cl)NC(=S)N2CCCC3=C[C@@H]4C[C@H]([C@H]32)C[NH+]5[C@H]4CCCC5,0,1
109,c1ccc(cc1)c2ccc(cc2)c3cn(nn3)C[C@H]4C[C@H]5CC[NH+]4C[C@@H]5C(=O)NC6CCCCC6,0,1
110,Cc1cc(oc-2cc(=[NH+]C(=S)NNC(=O)[C@H](C)Oc3ccc(cc3)C(C)(C)C)ccc12)O,0,1
111,C[NH2+][C@H](Cc1cccc(c1)Br)c2ccc(c(c2)Br)OC,0,1
112,C[C@H](c1ccccc1)/[NH+]=C(/NC2CCCCC2)\[S-],0,1
113,Cc1ccc(cc1)c2nc(on2)C[NH+]3CCC[C@@H](C3)C(=O)NCCSCc4ccccc4F,0,1
114,Cc1ccc2=[NH+]CC(=c2c1)CCNC(=O)c3ccccc3NC(=O)C4=C(OCCS4)C,0,1
115,Cc1cc[nH+]c(c1)N[C@@H](c2ccc3cccnc3c2O)c4c(cccc4Cl)Cl,0,1
116,CCCN([C@H](c1ccc(cc1)C)C(=O)NC(C)(C)CC(C)(C)C)C(=O)CCC2CCCCC2,0,1
117,Cc1ccc(c(c1)Cl)N[C@H](c2cccc(c2)Cl)c3nnc(o3)c4ccccc4,0,1
118,c1ccc(cc1)Oc2ccc(cc2)N3C(=O)C[C@@H](C3=O)[NH2+]CCc4c[nH]c5c4cc(cc5)Cl,0,1
119,CCOc1cc(cc(c1OCc2ccc(cc2Cl)F)Cl)C[NH2+]CCSc3nnnn3C,0,1
120,COc1ccc(cc1Cl)NC(=O)[C@H](c2ccccc2)[NH2+]Cc3ccc(cc3)N4CCCC4=O,0,1
121,c1ccc2c(c1)CCN[C@@H]2C(=O)Nc3ccccc3Cl,0,1
122,C[C@@H](c1ccccc1)[NH2+]Cc2cc(ccc2OCc3cccc(c3)Cl)Br,0,1
123,C[C@@H]1CCC[C@H]([C@@H]1C)NC(=O)c2cc([nH]n2)C(C)C,0,1
124,Cc1ccc(c(c1)Br)N[C@H](C)c2c(nn(c2C)C)C,0,1
125,CC(C)Oc1ccc(cc1CO)C[NH2+][C@@H]2CC(Cc3c2cnn3c4ccc(cc4)F)(C)C,0,1
126,Cn1c(cc(n1)c2ccc(cc2)N(C)C)[C@H]3C[NH+]4CC[C@@H]3C[C@@H]4CNC(=S)Nc5ccccc5,0,1
127,c1ccc2c(c1)ccc(n2)C(=O)N/N=C\3/CCCCc4c3cccc4,0,1
128,Cc1ccccc1C(=O)Nc2cccc(c2)c3cn4cccnc4n3,0,1
129,C[C@@H]1CCC[NH+](C1)Cc2ccc(cc2)CNC(=O)/C(=C/c3ccco3)/c4ccccc4,0,1
130,c1ccc2c(c1)ccc(c2C[NH2+]Cc3ccc(cc3)F)OCc4c(cccc4Cl)F,0,1
131,Cc1cc(ccc1NC(=O)[C@@H]2Cc3cc(ccc3OC2)Cl)Cl,0,1
132,CC[C@@H](CNc1c(cc(cc1Cl)Br)Cl)O,0,1
133,CC(C)c1ccc(cc1)CN2CC[NH+](CC2)Cc3nc(co3)C(=O)N(C)CCc4ccc(c(c4)OC)OC,0,1
134,CCCn1c2ccc(cc2nc1CN3CC[NH+](CC3)C)NC(=O)c4cccc(c4)Br,0,1
135,Cc1ccc(cc1Cl)NC(=[NH2+])Nc2[nH]c(=O)cc(n2)CSc3nc4ccccc4s3,0,1
136,Cc1cc(c(n1Cc2ccc(cc2)F)C)C(=O)CSCc3ccc(cc3)C(=O)[O-],0,1
137,c1ccc(cc1)[C@@H]2[C@H]3C[C@H]4[C@H]([NH+]2CN([C@@H]3c5ccccc5)[C@@H]4c6ccccc6)c7ccccc7,0,1
138,Cc1cccc(c1Cl)NC(=S)N(Cc2ccc(cc2)F)C3CC([NH2+]C(C3)(C)C)(C)C,0,1
139,C[C@]12CC(c3ccccc3[C@]1(NC(=O)O2)C)(C)C,0,1
140,c1cc(c(c(c1)Cl)Cl)NC(=O)c2cccc(n2)C(=O)Nc3cccc(c3Cl)Cl,0,1
141,CSc1cccc(c1)NC(=O)c2cc(sc2)Br,0,1
142,CN(Cc1cccc(c1)Br)[C@@H](C[NH3+])c2ccc(cc2)Br,0,1
143,CC1CCC(CC1)(CO)Nc2c(c(c(c(c2F)F)F)F)F,0,1
144,CCCn\1c2ccc(cc2s/c1=N\C(=O)CCSc3ccc(cc3)F)C,0,1
145,Cc1cccc(c1)[C@H]2c3cccn3-c4c(c(nn4c5ccccc5)C)CN2C(=O)Nc6cc(ccc6C)Cl,0,1
146,CC(C)CN(CC(C)C)C(=O)c1ccc(s1)c2nc3ccccc3s2,0,1
147,c1cc2c(cc1[C@@H](c3ccc(o3)Br)Cl)CCC(=O)N2,0,1
148,Cc1cc(ccc1N)Oc2c(cc3c(n2)CCC3)C#N,0,1
149,c1ccc2c(c1)CSC[C@H]2Nc3ccc(c(c3)F)F,0,1
150,c1cc(ccc1c2ccc(=S)[nH]n2)Br,0,1
151,CC[C@@H](C)c1ccccc1Oc2c(cc(cc2F)N)F,0,1
152,CC1(CC2=C([C@H](N(c3ccccc3N2)CC(=O)NCCC[NH+](C)C)c4ccccc4OC)C(=O)C1)C,0,1
153,CSc1cccc2c1nc(s2)Nc3c(c4c(s3)CCCC4)C#N,0,1
154,c1ccc(c(c1)[C@H]2C(=C(N3c4ccccc4NC3=C2C#N)N)C#N)C(F)(F)F,0,1
155,c1ccc(cc1)C#C[C@H](c2ccccc2)Nc3cc(cc(c3)Cl)Cl,0,1
156,CC[C@H]1CCCC[NH+]1CCCNC(=O)CC2CCN(CC2)S(=O)(=O)c3ccc(s3)Cl,0,1
157,Cc1ccc(c(c1)C(C)(C)C)OCc2ccc(cc2Br)N,0,1
158,c1ccc2c(c1)NC(=O)C[C@@H](N2C(=O)C[NH+]3CCN(CC3)Cc4ccc(s4)Cl)C(F)(F)F,0,1
159,CC1=C([C@@H](n2c(=O)/c(=C/c3c[nH]c4c3cccc4)/sc2=N1)c5cccc(c5)OC)/C(=N\c6ccccc6)/O,0,1
160,CCCOc1c(cc(cc1Cl)C[NH2+][C@@H](C)C23CC4CC(C2)CC(C4)C3)OC,0,1
161,Cc1ccc(c(c1)C)N[C@@H]2c3ccc(cc3NC2=O)Cl,0,1
162,Cc1ccn2c(c1)[nH+]c(c2NC3CCCCC3)c4ccccc4OC(=O)Cc5cccs5,0,1
163,Cc1ccc(cc1F)Cc2c(nc(s2)N)C(C)C,0,1
164,CC[C@@]1(C(=O)N(C(=O)N1)NC(=O)CCC2=c3ccccc3=[NH+][C@@H]2c4ccc(cc4)OC)c5ccccc5,0,1
165,Cc1c(nc(nc1NC)Cc2cccc(c2)Br)C,0,1
166,CCCCCCNC(=O)c1ccc(o1)C[NH+]2CCn3cccc3[C@@H]2c4ccccc4Cl,0,1
167,c1ccc2=[NH+]CC(=c2c1)C[C@@H](C(=O)N/N=C/c3ccc(cc3)Br)NC(=O)c4cccs4,0,1
168,Cc1ccc(cc1)c2c(n(c[nH+]2)C3CCCC3)c4ccc(o4)C(=O)N[C@@H](C)c5ccccc5,0,1
169,CC[C@@H](C)CN1C(=O)[C@@H]([NH2+]C12CCN(CC2)C(=S)Nc3ccccc3F)[C@@H](C)CC,0,1
170,c1ccc2c(c1)c(cs2)[C@@H]3Nc4ccccc4C(=O)N3,0,1
171,CCOc1ccc(cc1)n2c(nnc2SCC(=O)N/N=C/c3ccc(cc3)C(C)(C)C)c4ccc(cc4)Cl,0,1
172,C=CCNC(=O)c1ccccc1NC(=O)C2CC[NH+](CC2)Cc3ccc(c(c3)Cl)Cl,0,1
173,Cc1nc2cc(c(cc2s1)N)N3CCC(CC3)(C)C,0,1
174,c1c(c(cc(c1Cl)Cl)Cl)NC(=O)c2cc(c(s2)Br)Br,0,1
175,c1ccc(cc1)C(=O)N[C@@H](c2c3ccccc3c(=O)[nH]n2)C(=O)N/N=C/c4ccccc4OCc5ccc(cc5)Cl,0,1
176,CC[C@@H](C)Oc1c(cc(cc1Cl)Cl)N,0,1
177,Cc1ccc(cc1C)NC(=O)Nc2cccc(c2)SC,0,1
178,Cc1c(sc(c1C#N)NC(=O)[C@H]2Cc3ccccc3O2)C,0,1
179,CC1(CC[C@H](c2c1cccc2)Nc3cccc(c3)C#N)C,0,1
180,CCOc1cc(ccc1OCc2ccc(s2)Br)C[C@@H](C)[NH3+],0,1
181,c1ccc2=[NH+][C@H]3CN(CCC3=c2c1)C(=O)NCCCC(=O)Nc4cccc(c4)Br,0,1
182,CCc1cc2cc3c(cc2[nH]c1=S)OCCO3,0,1
183,CC[C@H](C)[C@H](C)Nc1ccc(cc1Cl)Cl,0,1
184,CCc1cc(c(s1)NC(=O)c2ccco2)[C@H](c3ccc(cc3)Br)Nc4cccc[nH+]4,0,1
185,CC(C)CCNc1nc2ccc(cc2s1)N,0,1
186,CC(C)c1cccc2c1NC[C@H](C2)C3CCCCC3,0,1
187,c1ccc(cc1)/N=C/2\NC(=O)/C(=C\c3cccc(c3)C(F)(F)F)/S2,0,1
188,Cc1c(c(no1)c2ccccc2Cl)C(=O)N3C[C@@H](C4(C3)CC[NH2+]CC4)C(=O)N[C@@H]5CCCC[C@@H]5C,0,1
189,C[C@@H]1CCCC[C@@H]1[NH+](C)C2CCN(CC2)C(=O)CNC(=O)/C=C/c3c(cccc3Cl)Cl,0,1
190,CCOc1cc(cc(c1O)/C=N/c2ccc(c(c2)O)c3nc4ccccc4s3)Br,0,1
191,CC[C@H](c1nc2ccccc2c(=O)n1c3ccc(c(c3)C)C)N(CC[NH+](C)C)C(=O)CCC4CCCC4,0,1
192,CC(C)c1ccc(cc1)C2=NC3=NN=C([C@@H]3C(=C2)C(=O)[O-])c4ccc(cc4)Cl,0,1
193,c1ccc(cc1)[C@@H](CNC(=O)c2cnc(nc2Cl)S(=O)(=O)Cc3ccc(cc3)F)[NH+]4CCCC4,0,1
194,C[C@@H]1N[C@H](SC(=S)N1CCN2[C@H](N[C@H](SC2=S)C)C)C,0,1
195,c1ccc2=[NH+]CC(=c2c1)/C=C\3/C(=O)N/C(=N\c4ccc(cc4C(F)(F)F)Cl)/S3,0,1
196,Cc1ccc2=[NH+][C@@H](C(=c2c1)CCN(Cc3cccnc3)C(=S)Nc4ccccc4C)C,0,1
197,Cc1ccc(cc1)CNC(=O)[C@H](C)Sc2nc3c(c4c(s3)CCCC4)c(=O)n2CCC[NH+](C)C,0,1
198,c1ccc2=[NH+][C@@H](C(=c2c1)CCC(=O)N3C[C@@H](Oc4c3cccc4)C(=O)N)c5ccc(cc5)F,0,1
199,C[C@@H](c1ccccc1F)NC(=O)[C@@H](C)Oc2ccc(cc2Cl)Cl,0,1
200,Cc1cc(c(c(c1)Cl)NC(=O)CSc2ccc3c(c2)CCC3)C,0,1
201,CCC(CC)C(=O)N1CC[NH+](CC1)[C@@H](C2CCCC2)C(=O)Nc3cccc(c3)Cl,0,1
202,C[C@@H](c1ccc2c(c1)CCCC2)NC(=O)c3csc(n3)N,0,1
203,c1ccc2c(c1)ccc(c2C[NH2+]C34C[C@H]5C[C@@H](C3)CC(C5)(C4)O)OCc6ccc(cc6)Cl,0,1
204,c1ccc(c(c1)CC[NH2+][C@H]2CCc3c(sc4c3c(=O)n(cn4)CCCc5ccncc5)C2)F,0,1
