,can,active,decoy,other
0,O=S(=O)(c1cccc2nonc12)n5ccc6ncc(c4cnn(C3CCNCC3)c4)cc56,1,0,0
1,COc4cc3nccc(Oc2ccc(NC(=O)CC(Nc1ccccc1)C(F)(F)F)cc2F)c3cc4OC,1,0,0
2,Fc4ccc(NC(=O)CC(=O)Nc3ccc(Oc1ccnc2[nH]ccc12)c(F)c3)cc4,1,0,0
3,Cn5cnc(c4cc3nccc(Oc2ccc(NC(CC(=O)Nc1ccc(F)cc1)C(F)(F)F)cc2F)c3s4)c5,1,0,0
4,CN5CCN(c4cnc3cc(C(F)(F)F)cc(c2ccc1[nH]c(=O)[nH]c1c2)c3n4)CC5,1,0,0
5,CN(C)CCCOc4cn3ncnc(Oc2ccc(NC(=O)c1cccnc1)cc2F)c3c4C,1,0,0
6,Fc5ccc(CC(=O)NC(=O)Nc4ccc(Oc2ccnc3[nH]cc(C(=O)NCc1cccnc1)c23)c(F)c4)cc5,1,0,0
7,O=c4[nH]cnc5[nH]c(c3ccnc(/C=C/c2ccc(CN1CCOCC1)cc2)c3)cc45,1,0,0
8,Nc3nccc(Oc2ccc(NC(=O)NC(=O)Cc1ccc(F)cc1)cc2F)c3C#Cc4ccccn4,1,0,0
9,Cc4c(OCCN1CCOCC1)cn5ncnc(Oc3ccc(NC(=O)CC(=O)Nc2ccc(F)cc2)cc3F)c45,1,0,0
10,Cn5cnc(c4cc3nccc(Oc2ccc(NC(=O)NC(=O)Cc1ccccc1)cc2F)c3s4)c5,1,0,0
11,CN5CCN(C(=O)c4cc3nccc(Oc2ccc(NC(=S)NC(=O)Cc1ccccc1)cc2F)c3s4)CC5,1,0,0
12,Fc2cc(NC(=S)NC(=O)Cc1ccccc1)ccc2Oc4ccnc5cc(c3cccnc3)sc45,1,0,0
13,Fc5ccc(CC(=O)NC(=O)Nc4ccc(Oc2ccnc3[nH]cc(c1cccnc1)c23)c(F)c4)cc5,1,0,0
14,CN5CCN(C(=O)c4c(C)[nH]c(\C=c2/c(=O)[nH]c3ccc(S(=O)(=O)N(C)c1cccc(Cl)c1)cc23)c4C)CC5,1,0,0
15,C[C@H](Oc3ccc2ncc(C1CC1C(N)=O)cc2c3)c4c(Cl)ccc(F)c4Cl,1,0,0
16,Nc4cnc3ccn(S(=O)(=O)c1c(Cl)nc2sccn12)c3c4,1,0,0
17,Nc3cc(Oc2ccc(NC(=O)CC(=O)Nc1ccc(F)cc1)cc2F)ccn3,1,0,0
18,Fc5ccc(CC(=O)NC(=O)Nc4ccc(Oc2ncnn3ccc(c1ccccc1)c23)c(F)c4)cc5,1,0,0
19,Cn5cc(c4cc3nccc(Oc2ccc(NC(=S)NC(=O)Cc1ccccc1)cc2F)c3s4)cn5,1,0,0
20,CN5CCN(c4cnc3cc(C(F)(F)F)cc(c2ccc1NC(=O)Cc1c2)c3n4)CC5,1,0,0
21,Oc4cc3C[C@@]2(O)COc1c(O)c(O)ccc1[C@H]2c3cc4O,1,0,0
22,CN5CCN(CCOc4cn3ncnc(Oc2ccc(NC(=O)CC(=O)Nc1ccc(F)cc1)cc2F)c3c4C)CC5,1,0,0
23,Fc5ccc(c4c[nH]cc(C(=O)Nc3ccc(Oc1ccnc2[nH]ccc12)c(F)c3)c4=O)cc5,1,0,0
24,Nc4cc(Oc3ccc(Nc1ncccc1C(=O)Nc2ccc(F)cc2F)cc3F)ccn4,1,0,0
25,COc5cc4nccc(Oc3ccc(NC(=O)c2cnn(c1ccccc1)c2C(F)(F)F)cc3F)c4cc5OC,1,0,0
26,Cc4csc(c3ccc2nnc(Cc1ccc(O)cc1)n2n3)c4,1,0,0
27,Fc2cc(NC(=S)NC(=O)Cc1ccccc1)ccc2Oc4ccnc5cc(c3ccccn3)sc45,1,0,0
28,CC(Oc2ccc1ncc(/C=C/C(N)=O)cc1c2)c3c(Cl)ccc(F)c3Cl,1,0,0
29,COc5cnc4c(NCc2nnc3ccc(c1cc(C)ns1)nn23)ccnc4c5,1,0,0
30,COc5cc4nccc(Oc3ccc(c2ccc(Cc1ccccc1)nn2)cc3F)c4cc5OC,1,0,0
31,Cn1ccnc1C(=O)c5cc4nccc(Oc3ccc(NC(=O)CC(=O)Nc2ccccc2)cc3F)c4s5,1,0,0
32,COc5ccc4c(OCc2nnc3ccc(c1cc(F)c(F)c(F)c1)nn23)ccnc4c5,1,0,0
33,CC(C)(C)OC(=O)N5CCN(c4cnc3ccn(S(=O)(=O)c1c(Cl)nc2sccn12)c3c4)CC5,1,0,0
34,COc5ccc4c(Oc3ccc(NC(=O)c2c(C)n(C)n(c1ccccc1)c2=O)cc3F)ccnc4c5,1,0,0
35,CN5CCN(CCOc4cn3ncnc(Oc2ccc(NC(=O)NC(=O)Cc1ccc(F)cc1)cc2F)c3c4C)CC5,1,0,0
36,CN5CCN(CCOc4cn3ncnc(Oc2ccc(NC(=O)c1cccs1)cc2F)c3c4C)CC5,1,0,0
37,Fc3cc(NC(=O)c2cccn(c1cccnc1)c2=O)ccc3Oc4ccnc5[nH]ccc45,1,0,0
38,Cn1cccc1c5cc4nccc(Oc3ccc(NC(=S)NC(=O)Cc2ccccc2)cc3F)c4s5,1,0,0
39,Cn5cnc(c4cc3nccc(Oc2ccc(NC(=O)CC(Nc1ccccc1)C(F)(F)F)cc2F)c3s4)c5,1,0,0
40,CN(C)[C@H]6CCN(C(=O)c5cc4nccc(Oc3ccc(NC(=O)N2CCN(c1ccccc1)C2=O)cc3F)c4s5)C6,1,0,0
41,CNC(=O)c4ccc(c3ccc2nnc(Cc1ccc(O)cc1)n2n3)cc4Cl,1,0,0
42,CN(C)C(=O)c4cc3nccc(Oc2ccc(NC(=S)NC(=O)Cc1ccccc1)cc2F)c3s4,1,0,0
43,COc5cc4nccc(Oc3ccc(c2cnc(Nc1ccc(F)cc1)n(C)c2=O)cc3F)c4cc5OC,1,0,0
44,Fc5ccc(n4cccc(C(=O)Nc3ccc(Oc1ccnc2[nH]ccc12)c(F)c3)c4=O)cc5,1,0,0
45,Fc2cc(NC(=S)NC(=O)Cc1ccccc1)ccc2Oc4ccnc5cc(c3nccs3)sc45,1,0,0
46,COc5cc4nccc(Oc3ccc(c2cnc(C(NC(=O)CN(C)C)c1ccccc1)n(C)c2=O)cc3F)c4cc5OC,1,0,0
47,CN(C)CCCOc4cn3ncnc(Oc2ccc(NC(=O)CC(=O)Nc1ccc(F)cc1)cc2F)c3c4C,1,0,0
48,CN4CCN(c3cnc2cc(C(F)(F)F)cc(OCc1cccc(N(=O)=O)c1)c2n3)CC4,1,0,0
49,COc5cc4nccc(Oc3ccc2c(C(=O)Nc1ccc(Cl)cc1)cccc2c3)c4cc5OC,1,0,0
50,COc4cc3nccc(Oc2ccc(NC(=S)NC(=O)Cc1ccccc1)cn2)c3cc4OC,1,0,0
51,O=C(N5CCN(c4cnc3ccn(S(=O)(=O)c1cccc2nonc12)c3c4)CC5)c6cccnc6,1,0,0
52,Oc4cc3oc1cc(=O)c(O)cc1c(c2cccc(Cl)c2Cl)c3cc4O,1,0,0
53,C(c1ccccc1)n2ccc3ncccc23,1,0,0
54,COc4cc3nccc(Oc2ccc(NC(=O)NC(=O)c1ccccc1)nc2)c3cc4OC,1,0,0
55,Fc3cc(NC(=O)c2cccc(c1ccccc1)n2)ccc3Oc4ccnc5[nH]ccc45,1,0,0
56,Fc2cc(NC(=S)NC(=O)Cc1ccccc1)ccc2Oc4ccnc5cc(c3ncccn3)sc45,1,0,0
57,COc5cc4nccc(Oc3ccc2cc(NC(=O)Cc1ccccc1)ccc2c3)c4cc5OC,1,0,0
58,N[C@@H]5CCN(Cc3ccn4ncnc(Oc2ccc(NC(=O)NC(=O)Cc1ccc(F)cc1)cc2F)c34)C[C@H]5O,1,0,0
59,COc5ccc4c(OCc2nnc3ccc(c1cc(C)ns1)nn23)ccnc4c5,1,0,0
60,N[C@H]5CCN(Cc3ccn4ncnc(Oc2ccc(NC(=O)NC(=O)Cc1ccc(F)cc1)cc2F)c34)C5,1,0,0
61,CC(=O)N5CCN(c4cnc3ccn(S(=O)(=O)c1cccc2nonc12)c3c4)CC5,1,0,0
62,Cn6cnc(c5cc4nccc(Oc3ccc(NC(=O)N2CCN(c1ccccc1)C2=O)cc3F)c4s5)c6,1,0,0
63,OC5CCN(CC(=O)c3c[nH]c4nccc(Oc2ccc(NC(=O)NC(=O)Cc1ccc(F)cc1)cc2F)c34)C5,1,0,0
64,CN5CCN(Cc1c(N)nccc1Oc4ccc(NC(=O)c3cccn(c2ccc(F)cc2)c3=O)cc4F)CC5,1,0,0
65,Cc5ccc(F)c(C(=O)Nc4ccc(Oc2ncnn3cc(OCCN1CCOCC1)c(C)c23)c(F)c4)c5,1,0,0
66,CN6CCN(c5ccc(c4cnc3ccn(S(=O)(=O)c1cccc2nonc12)c3c4)cn5)CC6,1,0,0
67,Fc2cc(NC(=S)NC(=O)Cc1ccccc1)ccc2Oc4ccnc5cc(C(=O)N3CCCC3)sc45,1,0,0
68,Fc2cc(NC(=S)NC(=O)Cc1ccccc1)ccc2Oc4ccnc5cc(C(=O)c3ccco3)sc45,1,0,0
69,O[C@@H]2c1ccc(O)c(O)c1OC[C@]2(O)Cc3ccc(O)c(O)c3,1,0,0
70,COc4cc3nccc(Oc2ccc(NC(=O)NC(=O)CN1CCCCC1)nc2)c3cc4OC,1,0,0
71,Fc5ccc(NC(=O)c1cccnc1Nc4ccc(Oc2ccnc3[nH]ccc23)c(F)c4)nc5,1,0,0
72,CSc4ncc(C(=O)Nc1ccc(F)cc1F)c(Nc3ccc(Oc2ccnc(N)c2)c(F)c3)n4,1,0,0
73,CN5CCN(CC(=O)c3c[nH]c4nccc(Oc2ccc(NC(=O)NC(=O)Cc1ccc(F)cc1)cc2F)c34)CC5,1,0,0
74,Fc6ccc(c5cn(c1ccc(Cl)c(F)c1)cc(C(=O)Nc4ccc(Oc2ccnc3[nH]ccc23)c(F)c4)c5=O)cc6,1,0,0
75,CC(C)(C)OC(=O)N4CCN(c3cnc2ccn(S(=O)(=O)c1ccccc1N(=O)=O)c2c3)CC4,1,0,0
76,Cn1ccnc1c5cc4nccc(Oc3ccc(NC(=S)NC(=O)Cc2ccccc2)cc3F)c4s5,1,0,0
77,Cn6cnc(c5cc4nccc(Oc3ccc(NC(=O)C2CCN(c1ccccc1)C2=O)cc3F)c4s5)c6,1,0,0
78,CN5CCN(CCOc4cn3ncnc(Oc2ccc(NC(=O)c1c(F)cccc1F)cc2F)c3c4C)CC5,1,0,0
79,COc4cc3nccc(Oc2ccc(NC(=O)Cc1ccccc1)nc2)c3cc4OC,1,0,0
80,CN4CCN(c3cnc2cc(C(F)(F)F)cc(NCc1cccc(N(=O)=O)c1)c2n3)CC4,1,0,0
81,Oc3ccc(C[C@@]2(O)COc1c(O)c(O)ccc1C2=O)cc3O,1,0,0
82,Oc4ccc(Cc2nnc3ccc(c1ccsc1)nn23)cc4,1,0,0
83,Nc3ncc(c2cnn(C1CCOCC1)c2)cc3c5nc4ccccc4o5,1,0,0
84,CCn1ccnc1c6cc5nccc(Oc4ccc(NC(=O)N3CCN(c2ccccc2)C3=O)cc4F)c5s6,1,0,0
85,Nc3nccc(Oc2ccc(NC(=O)NC(=O)Cc1ccc(F)cc1)cc2F)c3C#C,1,0,0
86,CN5CCN(c4cc(Nc1cc(C)n[nH]1)nc(Sc3ccc(NC(=O)C2CC2)cc3)n4)CC5,1,0,0
87,CN6CCC(c5cc4nccc(Oc3ccc(NC(=O)N2CCN(c1ccccc1)C2=O)cc3F)c4s5)=CC6,1,0,0
88,COc4cc3nccc(Oc2ccc(NC(=S)NC(=O)Cc1ccccc1)cc2F)c3cc4OC,1,0,0
89,Cc1ccccc1NC(=O)c2cccnc2Nc5ccc(Oc3ccnc4[nH]ccc34)c(F)c5,1,0,0
90,Oc4ccc(Cc2nnc3ccc(c1ccco1)nn23)cc4,1,0,0
91,O=N(=O)c1ccccc1S(=O)(=O)n2ccc3ncccc23,1,0,0
92,CC(=O)c6cccc(c5cc4nccc(Oc3ccc(NC(=O)N2CCN(c1ccccc1)C2=O)cc3F)c4s5)c6,1,0,0
93,COc5cc4nccc(Oc3ccc2N(C(=O)Nc1ccc(Cl)cc1)CCOc2c3)c4cc5C(N)=O,1,0,0
94,CN(C)CCCOc4cn3ncnc(Oc2ccc(NC(=O)c1c(F)cccc1F)cc2F)c3c4C,1,0,0
95,NC5CCC(=Cc3ccn4ncnc(Oc2ccc(NC(=O)NC(=O)Cc1ccc(F)cc1)cc2F)c34)CC5,1,0,0
96,Fc5ccc(CC(=O)NC(=O)Nc4ccc(Oc2ncnn3ccc(CN1CCOCC1)c23)c(F)c4)cc5,1,0,0
97,Oc3ccc(CC2=Cc1ccc(O)c(O)c1OC2)cc3O,1,0,0
98,Fc2cc(NC(=O)CC(=O)Nc1ccccc1)ccc2Oc4ccnc5cc(C(=O)N3CCCC3)sc45,1,0,0
99,Fc3cc(NC(=O)c2cccc(c1ccccc1)n2=O)ccc3Oc4ccnc5[nH]ccc45,1,0,0
100,Cc1ccc2c(c1C)nc(s2)N(CC[NH+](C)C)C(=O)c3ccc(cc3)S(=O)(=O)N4C[C@@H](C[C@@H](C4)C)C,0,1,0
101,c1cc(sc1)S(=O)(=O)N2CC[NH+](CC2)Cc3[nH]c(=O)c4c(csc4n3)c5ccc(cc5)F,0,1,0
102,Cc1ccc2c(c1)[nH]c(n2)[C@H](C)NC(=O)[C@@H]3CN(CC34CC[NH2+]CC4)C(=O)CCC5CCCC5,0,1,0
103,Cc1ccc2cc(c(=O)[nH]c2c1)[C@@H](c3nnnn3C4CCCCC4)[NH+]5CCC[C@@H](C5)C,0,1,0
104,Cc1c(sc(c1C(=O)OCc2[nH]c(=O)c3c(csc3n2)c4ccccc4)NC(=O)C)C,0,1,0
105,Cc1ccc2=C[C@@H](C(=O)[NH+]=c2c1)CN(C)C(=O)CC(C)C,0,1,0
106,CCOCCCNC(=O)N1Cc2c3c(sc2-n4cccc4[C@@H]1c5ccc(cc5)OC)C[NH+](CC3)C,0,1,0
107,Cc1c\2c(oc1C(=O)NC3CC([NH2+]C(C3)(C)C)(C)C)CCC/C2=N\NC(=O)c4cccc(c4)[N+](=O)[O-],0,1,0
108,c1ccc(cc1)Nc2c(=O)n(c(nn2)SCc3ccc(cc3)Br)N,0,1,0
109,CCC[NH+]1CCN(CC1)C(=O)[C@H](C)C2CCN(CC2)C(=O)[C@@H]3C=c4ccc(cc4=[NH+]3)OC,0,1,0
110,Cc1c(sc2c1c(=O)[nH]c(n2)CS[C@@H](C)C(=O)Nc3ccccc3C[NH+](C)C4CCCCC4)C,0,1,0
111,c1ccc(cc1)n2c3c(nc2Sc4ccc(cc4[N+](=O)[O-])S(=O)(=O)N5CCOCC5)CCCC3,0,1,0
112,C[C@]1(C(=O)N(C(=O)N1)NC(=O)c2c(c3ccccc3o2)COc4ccccc4)c5ccccc5,0,1,0
113,COc1ccc(cc1)c2nc(c(o2)NC[C@@H](c3ccc(cc3)Cl)[NH+]4CCCCC4)C#N,0,1,0
114,c1ccc(c(c1)N2CCN(CC2)[C@@H](CNS(=O)(=O)c3ccc(c(c3)F)F)c4ccc5c(c4)OCO5)F,0,1,0
115,Cc1ccc(cc1)S(=O)(=O)N(CC(=O)N[C@@H]2CC(Oc3c2ccc(c3)C)(C)C)c4cccc(c4C)Cl,0,1,0
116,CCCCCC(=O)N1[C@H]([C@H]([C@@H]([C@@]12c3ccccc3NC2=O)C(=O)c4ccccc4)c5ccccc5OC)CC,0,1,0
117,CC(C)(C)[C@@H]1CCc2c(cc(s2)c3nnc(n3C)SCc4nc(nc(n4)N)N)C1,0,1,0
118,CSCC[C@H](C(=O)N1CCC2(CC1)c3c(nc[nH]3)CC[NH2+]2)NC(=O)Cc4ccc(cc4)Cl,0,1,0
119,C[C@@H](c1cccc(c1)[N+](=O)[O-])[NH+](C)CC(C)C,0,1,0
120,Cc1cccc2c1N(C(=O)[C@]23CC(=Nc4c3cnn4c5ccccc5Cl)O)CC#C,0,1,0
121,c1c(c(cc(c1S(=O)(=O)NC2(CCCC2)CO)F)F)N,0,1,0
122,c1ccc(c(c1)CSCCNC(=O)[C@@H]2CCC[NH+](C2)Cc3nc(no3)c4ccc(cc4)Cl)Cl,0,1,0
123,CCCC[C@@H](C)C(=O)N1C[C@H](C2(C1)CC[NH2+]CC2)C(=O)NCc3cc4ccccc4[nH]3,0,1,0
124,Cc1ccc(cc1)C[NH+]2CC[C@@H](C2)CNS(=O)(=O)c3cc4c(cc3C)c5c([nH]4)CC(CC5=O)(C)C,0,1,0
125,c1ccc2c(c1)ccc(c2/C=N/NC(=O)C(=O)Nc3ccc(c(c3)Cl)Cl)O,0,1,0
126,c1cc(cc(c1)Cl)n2cnnc2SCc3ccc(cc3Cl)F,0,1,0
127,Cc1cc(=O)n2c(n1)sc(n2)C[NH+]3CCN(CC3)S(=O)(=O)c4ccc5c(c4)OCCCO5,0,1,0
128,C[NH+]1CCc2cc3c(c(c2[C@@H]1c4c(=O)nc(n(c4O)c5ccc(cc5)Br)[S-])OC)OCO3,0,1,0
129,Cc1ccc(cc1)C(=O)N[C@@H](C(C)C)C(=O)N/N=C/c2cc(c(c(c2)Br)OC(C)C)OC,0,1,0
130,CCO/N=C(\c1ccc(cc1)Br)/C2CC[NH+](CC2)C3(CCN(CC3)C(=O)c4ccc[n+](c4)[O-])C,0,1,0
131,Cc1ccc(cc1)C2=NN([C@@H](C2)c3ccco3)C(=O)CN4C(=O)[C@@](NC4=O)(C)c5cccc(c5)OC,0,1,0
132,CC1(C[C@@H](c2ccccc2O1)NC(=O)[C@@H]3CCC[NH+](C3)Cc4nc(no4)c5cccc(c5)Br)C,0,1,0
133,CC[NH+](CC(=O)Nc1cc(ccc1C)Cl)CC(=O)N2[C@@H](CC(=N2)c3ccco3)c4cccs4,0,1,0
134,C[C@@H]1CCC[C@H](C1)Oc2nc3c(n2C)c(=O)n(c(=O)n3C)C,0,1,0
135,Cc1cc(ccc1NC(=O)C(=O)NNc2ccc(cc2Cl)Cl)C(=O)NC,0,1,0
136,C[C@@H]1CCCCN1C(=O)c2c(c3n(n2)[C@H](C[C@@H](N3)c4ccco4)C(F)(F)F)Cl,0,1,0
137,Cc1cccc(c1)C(=O)N/N=C/2\CCCc3c2c(c(o3)C(=O)NCCCn4cc[nH+]c4)C,0,1,0
138,CS(=O)(=O)c1ccccc1C[NH+]2CCC(CC2)N3CCCN(CC3)c4c5c(nc[nH]5)ncn4,0,1,0
139,CC(=O)N[C@H](CC1=c2ccccc2=[NH+]C1)C(=O)NNC(=O)CSc3nc4ccccc4s3,0,1,0
140,Cc1c(c(on1)C)S(=O)(=O)N2CC[NH+](CC2)C[C@H](c3cccc(c3)OC)OCc4ccc(cc4)C#N,0,1,0
141,Cc1cccc(c1)[C@H]2[C@H]3CC=C[C@@H]3c4ccc(c(c4N2)C)[N+](=O)[O-],0,1,0
142,COc1ccc(cc1)S(=O)(=O)N=C2C=C(C(=O)C3=C2CC=CC3)NNC(=O)c4ccc(cc4)[N+](=O)[O-],0,1,0
143,CC(C)CNc1nc(c2c(n(nc2n1)c3ccc(cc3)Cl)N)c4cccc(c4)Cl,0,1,0
144,Cc1ccc2c(c1)c(c[nH]2)CCNC(=O)[C@H]3CN(CC34CC[NH2+]CC4)C(=O)c5ccc(c(c5)C)F,0,1,0
145,c1ccc(cc1)[C@@H]2[C@H]3C(=c4ccccc4=[NH+]3)C[C@@H]5N2C(=O)N(C5=O)c6ccccc6C(=O)NC7CCCC7,0,1,0
146,CC(C)CC(=O)O[C@H]1[C@H](c2c(ccc(c2O)/C=C/C(=O)N3CCCCC3)OC1(C)C)[NH+]4CCCCC4,0,1,0
147,C=CCSc1nc2c(nn1)-c3cc(ccc3N[C@H](O2)c4c[nH]nc4c5ccccc5)Br,0,1,0
148,Cc1cc(c(n1Cc2ccc3c(c2)OCO3)C)C(=O)CN4C(=O)[C@@]5(CCCCc6c5cccc6)NC4=O,0,1,0
149,C/C=C/C=C/C=C\C(=O)N[C@@H]([C@H](C)[NH3+])C(=O)O[C@@H]([C@@H]1C(=O)NCC(=O)N1)C2=C3C=CC(=C[C@@H]3N=C2)Cl,0,1,0
150,Cc1cc2c(c(=O)n1CC[NH+](C)C)[C@]3(c4ccccc4N(C3=O)Cc5ccccc5)C(=C(O2)N)C#N,0,1,0
151,c1cc(cc(c1)[N+](=O)[O-])C(=O)N[C@H](C#N)C2CCCCC2,0,1,0
152,c1cc(oc1)C[NH+](Cc2cccs2)CC(=O)Nc3c(c4c(s3)CCCC4)C(=O)N,0,1,0
153,Cc1ccc(cc1)S(=O)(=O)N/[NH+]=c\2/c(cc3cc(cc(c3o2)Cl)Cl)C(=O)N,0,1,0
154,CC1=C([C@@H](n2c(nnn2)N1)c3ccc(cc3)OCc4cccc(c4)Br)C(=O)OC(C)C,0,1,0
155,CC(=O)O[C@H]1C[C@H](C([C@H]2[C@]1([C@@H]3CC[C@]4([C@@H](OC(=O)[C@H]5[C@]4([C@@]3(C(=O)C2)C)O5)C(=O)[O-])C)C)(C)C)OC(=O)C,0,1,0
156,CCOC(=O)c1c(c(sc1NC(=O)CSc2nnc(n2c3ccc(cc3)C)c4cc(nn4C)C)C)C,0,1,0
157,c1ccc(cc1)[C@H]2c3ccccc3NC(=[NH+]2)NNS(=O)(=O)c4ccc(cc4)Br,0,1,0
158,C[C@@H]1C[C@@H](CN(C1)S(=O)(=O)c2ccc(cc2)C(=O)/N=c\3/n(c4ccc5ccccc5c4s3)CC=C)C,0,1,0
159,CC1CCN(CC1)c2ccc(cc2[N+](=O)[O-])C(=O)NNC(=O)c3ccccc3Br,0,1,0
160,Cc1cc(cc(c1C)S(=O)(=O)N)C(=O)OCC(=O)N(Cc2ccc(cc2)F)C3CCCCC3,0,1,0
161,CC1CCC2(CC1)C(=O)N(C(=O)N2)CC(=O)N(C)CC(=O)Nc3c(cccc3Cl)Cl,0,1,0
162,CCCCCOc1ccc(cc1)[C@H]2c3c(=O)c4ccccc4oc3C(=O)N2c5nc(c(s5)C)C,0,1,0
163,CCOc1ccc(cc1)S(=O)(=O)Nc2cccc(c2)C(=O)NC[C@@H](c3ccco3)[NH+]4CCCC4,0,1,0
164,c1cc[nH+]c(c1)N[C@H](c2ccc3c(c2)OCO3)c4ccc5cccnc5c4O,0,1,0
165,Cc1cc(c(cc1Br)C(C)C)OCC(=O)N/N=C/c2cc(c(c(c2)Br)O)OC,0,1,0
166,CC(C)(C)n1c2c(cn1)[C@H]([C@@H]3C(=N2)NC(=O)N3c4cccc(c4)OC)c5cc(c6c(c5OC)OCO6)OC,0,1,0
167,c1ccc2c(c1)CCC[C@@]23C(=O)N(C(=O)N3)CC(=O)NC4(CCCCC4)C#N,0,1,0
168,COC(=O)Cn\1c2cc3c(cc2s/c1=N\C(=O)[C@@H]4CCCN(C4)S(=O)(=O)C)OCCO3,0,1,0
169,Cc1cc(ccc1Br)n2c(nnn2)c3cc(cc(c3)N)N,0,1,0
170,CC(=O)c1ccc(cc1)N([C@H](c2ccc(cc2)O)C(=O)NC3CCCCC3)C(=O)[C@H]4COc5ccccc5O4,0,1,0
171,CCOC(=O)[C@H](CCCCNS(=O)(=O)c1ccc(cc1)C)NC(=O)c2coc(n2)C3CC[NH2+]CC3,0,1,0
172,CCc1ccc(cc1)[C@H](C)NC(=O)[C@H]2CN(CC23CC[NH2+]CC3)C(=O)COc4cccc(c4)Cl,0,1,0
173,C#C[C@H]1CN2CC[C@@H]1C[C@@H]2C[NH+](Cc3ccc4c(c3)OCO4)Cc5ccc6c(c5)OCO6,0,1,0
174,Cc1cc(=O)oc2c1cccc2OCC(=O)N3C[C@@H](C4(C3)CC[NH2+]CC4)C(=O)NCCOCCO,0,1,0
175,CCc1cc2c(s1)ncn(c2=O)C[NH+]3CCN(CC3)Cc4csc(n4)c5ccc(cc5)OC,0,1,0
